Question,Option1,Option2,Option3,Option4,Answer
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
Which continent has the most countries?,Africa,Europe,South America,Asia,Africa
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which planet is known as the Red Planet?,Jupiter,Mars,Venus,Mercury,Mars
What protects Earth from solar winds?,Ozone Layer,Clouds,Magnetosphere,Atmosphere,Magnetosphere
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
Which planet has the most moons?,Mars,Saturn,Jupiter,Earth,Saturn
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
Which planet is farthest from the sun?,Saturn,Uranus,Neptune,Jupiter,Neptune
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which planet has the most moons?,Saturn,Earth,Jupiter,Mars,Saturn
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
Which is the hottest planet in the solar system?,Mars,Mercury,Venus,Neptune,Venus
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
Which country has the most islands?,Philippines,Indonesia,Finland,Sweden,Sweden
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
What is the capital of Australia?,Melbourne,Sydney,Brisbane,Canberra,Canberra
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
Which galaxy do we live in?,Whirlpool,Sombrero,Andromeda,Milky Way,Milky Way
Which planet is farthest from the sun?,Jupiter,Uranus,Saturn,Neptune,Neptune
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
Which continent has the most countries?,South America,Asia,Africa,Europe,Africa
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Which planet is farthest from the sun?,Neptune,Uranus,Jupiter,Saturn,Neptune
Which planet has the most moons?,Jupiter,Mars,Saturn,Earth,Saturn
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
Which planet has the most moons?,Mars,Earth,Jupiter,Saturn,Saturn
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Magnetosphere,Clouds,Magnetosphere
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Where is Mount Everest located?,India,Bhutan,Nepal,China,Nepal
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
What is the smallest country?,Vatican City,Tuvalu,Nauru,Monaco,Vatican City
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Mars
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Clouds,Magnetosphere,Magnetosphere
Where is Mount Everest located?,China,Bhutan,Nepal,India,Nepal
What is the capital of Australia?,Canberra,Melbourne,Sydney,Brisbane,Canberra
Which is the hottest planet in the solar system?,Mercury,Neptune,Venus,Mars,Venus
What protects Earth from solar winds?,Clouds,Magnetosphere,Atmosphere,Ozone Layer,Magnetosphere
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars,Saturn
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which country has the most islands?,Sweden,Philippines,Indonesia,Finland,Sweden
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which is the largest desert?,Antarctic,Gobi,Kalahari,Sahara,Antarctic
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
Which planet has the most moons?,Jupiter,Earth,Saturn,Mars,Saturn
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
Which planet has the most moons?,Earth,Mars,Saturn,Jupiter,Saturn
Which planet has the most moons?,Mars,Earth,Jupiter,Saturn,Saturn
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which is the largest desert?,Gobi,Antarctic,Sahara,Kalahari,Antarctic
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Which country has the most islands?,Philippines,Indonesia,Finland,Sweden,Sweden
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which is the largest desert?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Which planet is known as the Red Planet?,Mercury,Mars,Jupiter,Venus,Mars
Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,Pacific
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
What protects Earth from solar winds?,Ozone Layer,Clouds,Magnetosphere,Atmosphere,Magnetosphere
What is the capital of Australia?,Sydney,Canberra,Brisbane,Melbourne,Canberra
Which continent has the most countries?,Asia,South America,Europe,Africa,Africa
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which river is the longest in the world?,Yangtze,Nile,Mississippi,Amazon,Nile
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which river is the longest in the world?,Amazon,Yangtze,Mississippi,Nile,Nile
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which planet has the most moons?,Mars,Earth,Jupiter,Saturn,Saturn
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which continent has the most countries?,South America,Africa,Europe,Asia,Africa
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which galaxy do we live in?,Whirlpool,Milky Way,Andromeda,Sombrero,Milky Way
Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
Which is the largest desert?,Kalahari,Gobi,Antarctic,Sahara,Antarctic
What is the largest planet in our solar system?,Mars,Jupiter,Earth,Saturn,Jupiter
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
Which planet is farthest from the sun?,Jupiter,Saturn,Uranus,Neptune,Neptune
Which is the largest desert?,Gobi,Antarctic,Sahara,Kalahari,Antarctic
Which continent has the most countries?,Asia,South America,Europe,Africa,Africa
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
Which is the largest desert?,Kalahari,Gobi,Antarctic,Sahara,Antarctic
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong
Which is the largest desert?,Gobi,Sahara,Kalahari,Antarctic,Antarctic
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Clouds,Magnetosphere,Magnetosphere
Where is Mount Everest located?,China,India,Nepal,Bhutan,Nepal
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Where is Mount Everest located?,Bhutan,Nepal,India,China,Nepal
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which is the largest ocean?,Atlantic,Arctic,Pacific,Indian,Pacific
Which planet has the most moons?,Earth,Mars,Saturn,Jupiter,Saturn
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
What protects Earth from solar winds?,Clouds,Ozone Layer,Atmosphere,Magnetosphere,Magnetosphere
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
What is the largest planet in our solar system?,Mars,Earth,Saturn,Jupiter,Jupiter
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
What is the capital of Australia?,Sydney,Brisbane,Canberra,Melbourne,Canberra
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
What is the capital of Australia?,Brisbane,Sydney,Melbourne,Canberra,Canberra
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Mars
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
What is the capital of Australia?,Sydney,Brisbane,Melbourne,Canberra,Canberra
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which country has the most islands?,Sweden,Indonesia,Finland,Philippines,Sweden
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
What is the smallest country?,Monaco,Nauru,Tuvalu,Vatican City,Vatican City
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
Which is the largest desert?,Gobi,Antarctic,Sahara,Kalahari,Antarctic
What protects Earth from solar winds?,Magnetosphere,Clouds,Ozone Layer,Atmosphere,Magnetosphere
What is the largest planet in our solar system?,Saturn,Mars,Earth,Jupiter,Jupiter
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
Which planet is farthest from the sun?,Neptune,Saturn,Jupiter,Uranus,Neptune
Which planet is farthest from the sun?,Jupiter,Uranus,Neptune,Saturn,Neptune
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
What is the smallest country?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
Which planet is known as the Red Planet?,Jupiter,Mercury,Venus,Mars,Mars
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
What is the largest planet in our solar system?,Earth,Jupiter,Mars,Saturn,Jupiter
Which continent has the most countries?,Asia,South America,Europe,Africa,Africa
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
